leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
MTL000178,Douglas Coffin,Douglas,,Coffin,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/15263.jpg,2013-01-09 19:39:39.538000,2015-01-05 17:32:32.165000
MTL000179,Amanda Curtis,Amanda,,Curtis,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/15145.jpg,2013-01-09 19:39:39.572000,2015-01-05 17:32:32.121000
MTL000183,Clayton Fiscus,Clayton,,Fiscus,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/15141.jpg,2013-01-09 19:39:39.610000,2017-01-10 07:15:06.263000
MTL000184,Wylie Galt,Wylie,,Galt,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/15258.jpg,2013-01-09 19:39:39.630000,2015-01-05 17:32:32.129000
MTL000186,Jenifer Gursky,Jenifer,,Gursky,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/15266.jpg,2013-01-09 19:39:39.657000,2015-01-05 17:32:32.171000
MTL000187,Roger Hagan,Roger,,Hagan,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/15242.jpg,2013-01-09 19:39:39.666000,2015-01-05 17:32:32.042000
MTL000188,Dave Hagstrom,Dave,,Hagstrom,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/15251.jpg,2013-01-09 19:39:39.672000,2017-01-10 07:15:06.266000
MTL000189,David Halvorson,David,,Halvorson,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/14539.jpg,2013-01-09 19:39:39.678000,2015-01-05 17:32:32.067000
MTL000195,Mike Lang,Mike,,Lang,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/15245.jpg,2013-01-09 19:39:39.812000,2017-01-10 07:15:06.283000
MTL000196,Sarah Laszloffy,Sarah,,Laszloffy,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/15252.jpg,2013-01-09 19:39:39.819000,2017-01-10 07:15:06.295000
MTL000197,Dennis Lenz,Dennis,,Lenz,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/15249.jpg,2013-01-09 19:39:39.832000,2015-01-05 17:32:32.087000
MTL000198,Ed Lieser,Ed,,Lieser,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/15237.jpg,2013-01-09 19:39:39.839000,2017-01-10 07:15:06.269000
MTL000206,"David ""Doc"" Moore",David,,Moore,,Doc,False,mt,,,,http://leg.mt.gov/images/legislators_64th/15262.jpg,2013-01-09 19:39:39.911000,2017-01-10 07:15:06.267000
MTL000207,Reilly Neill,Reilly,,Neill,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/15253.jpg,2013-01-09 19:39:39.918000,2015-01-05 17:32:32.104000
MTL000215,Casey Schreiner,Casey,,Schreiner,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/15243.jpg,2013-01-09 19:39:40.024000,2017-01-10 07:15:06.259000
MTL000216,Nicholas Schwaderer,Nicholas,,Schwaderer,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/15240.jpg,2013-01-09 19:39:40.031000,2017-01-10 07:15:06.288000
MTL000219,Tom Steenberg,Tom,,Steenberg,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/15264.jpg,2013-01-09 19:39:40.066000,2017-01-10 07:15:06.301000
MTL000224,Nancy Wilson,Nancy,,Wilson,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/15265.jpg,2013-01-09 19:39:40.147000,2017-01-10 07:15:06.287000
MTL000247,Mary sheehy Moe,Mary sheehy,,Moe,,,False,mt,,,,http://leg.mt.gov/images/legislators_65th/13621.jpg,2015-01-05 17:32:30.895000,2017-04-10 13:36:38.170000
MTL000261,Albert Olszewski,Albert,,Olszewski,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/16516.jpg,2015-01-05 17:32:31.051000,2017-01-10 07:15:06.239000
MTL000273,Debra Lamm,Debra,,Lamm,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/16508.jpg,2015-01-05 17:32:31.160000,2017-01-10 07:15:06.268000
MTL000276,Wendy Mckamey,Wendy,,Mckamey,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/16511.jpg,2015-01-05 17:32:31.178000,2017-01-10 07:15:06.302000
MTL000279,Stephanie Hess,Stephanie,,Hess,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/16503.jpg,2015-01-05 17:32:31.203000,2017-01-10 07:15:06.296000
MTL000281,Christopher Pope,Christopher,,Pope,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/16520.jpg,2015-01-05 17:32:31.220000,2017-01-10 07:15:06.260000
MTL000290,Tom Richmond,Tom,,Richmond,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/16663.jpg,2015-01-05 17:32:31.291000,2017-01-10 07:15:06.300000
MTL000302,Andrew Person,Andrew,,Person,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/16518.jpg,2015-01-05 17:32:31.380000,2017-01-10 07:15:06.254000
MTL000308,Randall Pinocci,Randall,,Pinocci,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/16519.jpg,2015-01-05 17:32:31.431000,2017-01-10 07:15:06.290000
MTL000313,G. bruce Meyers,G. bruce,,Meyers,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/16512.jpg,2015-01-05 17:32:31.463000,2017-01-10 07:15:06.273000
MTL000337,Edie Mcclafferty,Edie,,Mcclafferty,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/12784.jpg,2015-01-05 17:32:31.643000,2017-01-10 07:15:06.271000
MTL000343,Matthew Monforton,Matthew,,Monforton,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/16513.jpg,2015-01-05 17:32:31.686000,2017-01-10 07:15:06.281000
MTL000012,Jeff Essmann,Jeff,,Essmann,,,True,mt,lower,54,Republican,,2012-03-08 02:14:26.272000,2017-06-01 09:07:06.392000
MTL000057,Bryce Bennett,Bryce,,Bennett,,,True,mt,lower,91,Democratic,,2012-03-08 02:14:26.784000,2017-06-01 09:07:35.898000
MTL000063,Randy Brodehl,Randy,,Brodehl,,,True,mt,lower,9,Republican,,2012-03-08 02:14:26.869000,2017-06-01 09:07:35.951000
MTL000064,Tom Burnett,Tom,,Burnett,,,True,mt,lower,67,Republican,,2012-03-08 02:14:26.887000,2017-06-01 09:07:35.774000
MTL000067,Rob Cook,Rob,,Cook,,,True,mt,lower,18,Republican,,2012-03-08 02:14:26.964000,2017-06-01 09:07:35.998000
MTL000068,Virginia Court,Virginia,,Court,,,True,mt,lower,50,Democratic,,2012-03-08 02:14:26.972000,2017-06-01 09:07:06.451000
MTL000069,Mike Cuffe,Mike,,Cuffe,,,True,mt,lower,2,Republican,,2012-03-08 02:14:26.979000,2017-06-01 09:07:35.813000
MTL000072,Ron Ehli,Ron,,Ehli,,,True,mt,lower,86,Republican,,2012-03-08 02:14:27.002000,2017-06-01 09:07:06.431000
MTL000076,Kelly Flynn,Kelly,,Flynn,,,True,mt,lower,70,Republican,,2012-03-08 02:14:27.049000,2017-06-01 09:07:06.405000
MTL000079,Edward Greef,Edward,,Greef,,,True,mt,lower,88,Republican,,2012-03-08 02:14:27.073000,2017-06-01 09:07:06.378000
MTL000098,Austin Knudsen,Austin,,Knudsen,,,True,mt,lower,34,Republican,,2012-03-08 02:14:27.377000,2017-06-01 09:07:06.356000
MTL000099,Steve Lavin,Steve,,Lavin,,,True,mt,lower,8,Republican,,2012-03-08 02:14:27.385000,2017-06-01 09:07:06.440000
MTL000122,Jean Price,Jean,,Price,,,True,mt,lower,24,Democratic,,2012-03-08 02:14:27.647000,2017-06-01 09:07:06.390000
MTL000141,Kathy Swanson,Kathy,,Swanson,,,True,mt,lower,77,Democratic,,2012-03-08 02:14:27.984000,2017-06-01 09:07:06.404000
MTL000173,Nancy Ballance,Nancy,,Ballance,,,True,mt,lower,87,Republican,,2013-01-09 19:39:39.461000,2017-06-01 09:07:35.991000
MTL000180,Alan Doane,Alan,,Doane,,,True,mt,lower,36,Republican,,2013-01-09 19:39:39.578000,2017-06-01 09:07:06.352000
MTL000181,Kimberly Dudik,Kimberly,,Dudik,,,True,mt,lower,94,Democratic,,2013-01-09 19:39:39.585000,2017-06-01 09:07:35.944000
